profile,condition,metric,mean,sd,ci95_lower,ci95_upper,n,cohens_d_vs_sm2,effect_interpretation
Med-Over,No Scaffolding,retention_30day,0.207882,0.000178,0.207816,0.207949,30,N/A,N/A
Med-Over,No Scaffolding,final_ece,0.194916,0.065894,0.170307,0.219526,30,0.9219,large
Med-Over,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Over,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Over,Calibration Only,retention_7day,0.278577,0.001804,0.277903,0.279250,30,4.1270,large
Med-Over,Calibration Only,retention_1day,0.343176,0.003286,0.341949,0.344404,30,N/A,N/A
Med-Over,Calibration Only,retention_30day,0.207878,0.000181,0.207810,0.207946,30,N/A,N/A
Med-Over,Calibration Only,final_ece,0.197418,0.069987,0.171279,0.223556,30,0.8641,large
Med-Over,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Over,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Over,SM-2 Baseline,retention_7day,0.270292,0.002193,0.269473,0.271110,30,N/A,N/A
Med-Over,SM-2 Baseline,retention_1day,0.328079,0.003996,0.326587,0.329572,30,N/A,N/A
Med-Over,SM-2 Baseline,retention_30day,0.207047,0.000220,0.206965,0.207129,30,N/A,N/A
Med-Over,SM-2 Baseline,final_ece,0.261131,0.077300,0.232261,0.290000,30,N/A,N/A
Med-Over,SM-2 Baseline,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Over,SM-2 Baseline,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Over,BKT-Only,retention_7day,0.278622,0.001786,0.277955,0.279289,30,4.1658,large
Med-Over,BKT-Only,retention_1day,0.343258,0.003254,0.342043,0.344473,30,N/A,N/A
Med-Over,BKT-Only,retention_30day,0.207883,0.000179,0.207816,0.207949,30,N/A,N/A
Med-Over,BKT-Only,final_ece,0.204016,0.060002,0.181607,0.226425,30,0.8254,large
Med-Over,BKT-Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Over,BKT-Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Under,Full CalibrateMe,retention_7day,0.278464,0.001708,0.277826,0.279102,30,4.8744,large
Med-Under,Full CalibrateMe,retention_1day,0.342971,0.003112,0.341809,0.344133,30,N/A,N/A
Med-Under,Full CalibrateMe,retention_30day,0.207867,0.000171,0.207803,0.207931,30,N/A,N/A
Med-Under,Full CalibrateMe,final_ece,0.215175,0.086714,0.182790,0.247561,30,0.3637,small
Med-Under,Full CalibrateMe,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Under,Full CalibrateMe,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Under,No Dual-Process,retention_7day,0.277714,0.001545,0.277137,0.278291,30,4.7215,large
Med-Under,No Dual-Process,retention_1day,0.341604,0.002815,0.340553,0.342655,30,N/A,N/A
Med-Under,No Dual-Process,retention_30day,0.207792,0.000155,0.207734,0.207849,30,N/A,N/A
Med-Under,No Dual-Process,final_ece,0.193495,0.072932,0.166256,0.220733,30,0.6682,medium
Med-Under,No Dual-Process,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Under,No Dual-Process,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Under,No Scaffolding,retention_7day,0.278345,0.001759,0.277688,0.279002,30,4.8287,large
Med-Under,No Scaffolding,retention_1day,0.342754,0.003205,0.341557,0.343951,30,N/A,N/A
Med-Under,No Scaffolding,retention_30day,0.207855,0.000176,0.207789,0.207921,30,N/A,N/A
Med-Under,No Scaffolding,final_ece,0.273201,0.096724,0.237077,0.309325,30,-0.2945,small
Med-Under,No Scaffolding,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Under,No Scaffolding,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Under,Calibration Only,retention_7day,0.278045,0.002026,0.277288,0.278802,30,4.6718,large
Med-Under,Calibration Only,retention_1day,0.342207,0.003691,0.340829,0.343586,30,N/A,N/A
Med-Under,Calibration Only,retention_30day,0.207825,0.000203,0.207749,0.207901,30,N/A,N/A
Med-Under,Calibration Only,final_ece,0.275840,0.087700,0.243086,0.308594,30,-0.3411,small
Med-Under,Calibration Only,time_to_mastery,30.000000,0.000000,30.000000,30.000000,30,N/A,N/A
Med-Under,Calibration Only,review_efficiency,6.000000,0.000000,6.000000,6.000000,30,N/A,N/A
Med-Under,SM-2 Baseline,retention_7day,0.259770,0.005148,0.257847,0.261692,30,N/A,N/A
Med-Under,SM-2 Baseline,retention_1day,0.308908,0.009380,0.305404,0.312411,30,N/A,N/A
Med-Under,SM-2 Baseline,retention_30day,0.205992,0.000516,0.205800,0.206185,30,N/A,N/A
